epoch,year,type,region_id,name,outcome,faction,measure,winner,ceded,tribute,occupied,contested,ruler
1,1025,settlement_abandoned,0,,,,,,,,,,
1,1025,settlement_abandoned,2,,,,,,,,,,
1,1025,settlement_abandoned,4,,,,,,,,,,
1,1025,settlement_abandoned,6,,,,,,,,,,
1,1025,settlement_abandoned,9,,,,,,,,,,
1,1025,settlement_abandoned,11,,,,,,,,,,
1,1025,drought,10,the Drought of 1025,,,,,,,,,
1,1025,blight_plague,5,the Grey Breath of 1025,,,,,,,,,
2,1050,settlement_founded,9,,,,,,,,,,
2,1050,annexation,1,the Landing at Ulvere,,,,,,,1,,
2,1050,discovery,5,the Quill Find,,,,,,,,,
3,1075,succession,,Evere,,crown,,,,,,true,1
3,1075,succession,,Rumketh,,magnate,,,,,,true,1
3,1075,storm,1,the Great Storm of 1075,,,,,,,,,
3,1075,reaction,,,,,toll_crackdown,,,,,,
3,1075,consecration,5,,,,,,,,,,
4,1100,refinery_collapse,5,,,,,,,,,,
4,1100,relic_calamity,11,,,,,,,,,,
4,1100,revolt,11,the Wicklemoord Rising,won,,,,,,,,
5,1125,settlement_founded,4,,,,,,,,,,
5,1125,settlement_founded,6,,,,,,,,,,
5,1125,succession,,Evane,,temple,,,,,,false,1
5,1125,storm,1,the Great Storm of 1125,,,,,,,,,
5,1125,discovery,5,the Quill Find,,,,,,,,,
6,1150,refinery_founded,5,,,,,,,,,,
6,1150,succession,,Gnarrothrak,,magnate,,,,,,false,2
6,1150,drought,6,the Drought of 1150,,,,,,,,,
6,1150,quake,11,the Wicklemoord Quake,,,,,,,,,
7,1175,war,5,the War of 1175,,crown|temple,,,,,,,
8,1200,succession,,Ladenmere,,crown,,,,,,false,2
8,1200,treaty,5,the Peace of Quill,,crown|temple,,crown,0,0,,,
8,1200,storm,1,the Great Storm of 1200,,,,,,,,,
9,1225,quake,11,the Wicklemoord Quake,,,,,,,,,
10,1250,quake,11,the Wicklemoord Quake,,,,,,,,,
10,1250,ascendancy,5,the Rise of Quill,,,,,,,,,
