epoch,year,type,region_id,name,outcome,faction,measure,winner,ceded,tribute,occupied,contested,ruler
1,1025,embargo,1,,,,,,,,,,
1,1025,settlement_abandoned,0,,,,,,,,,,
1,1025,settlement_abandoned,2,,,,,,,,,,
1,1025,settlement_abandoned,7,,,,,,,,,,
1,1025,settlement_abandoned,9,,,,,,,,,,
1,1025,settlement_abandoned,11,,,,,,,,,,
1,1025,seizure,1,,,magnate,,,,,,,
1,1025,drought,3,the Drought of 1025,,,,,,,,,
1,1025,blight_plague,8,the Long Cough of 1025,,,,,,,,,
1,1025,blight_plague,10,the Ash Fever of 1025,,,,,,,,,
2,1050,settlement_founded,2,,,,,,,,,,
2,1050,settlement_abandoned,3,,,,,,,,,,
2,1050,settlement_abandoned,6,,,,,,,,,,
2,1050,settlement_founded,9,,,,,,,,,,
2,1050,settlement_abandoned,10,,,,,,,,,,
2,1050,discovery,1,the Rushold Find,,,,,,,,,
3,1075,settlement_founded,6,,,,,,,,,,
3,1075,settlement_founded,10,,,,,,,,,,
3,1075,succession,,Kelmook,,crown,,,,,,true,1
3,1075,succession,,Brolt,,magnate,,,,,,true,1
3,1075,storm,1,the Great Storm of 1075,,,,,,,,,
3,1075,reaction,,,,,toll_crackdown,,,,,,
3,1075,consecration,8,,,,,,,,,,
4,1100,concession,1,,,,,,,,,,
4,1100,refinery_collapse,1,,,,,,,,,,
4,1100,seizure,1,,,crown,,,,,,,
4,1100,tower_raised,9,,,apostate,,,,,,,
4,1100,relic_calamity,0,,,,,,,,,,
4,1100,revolt,0,the Drolvek Diggings Rising,won,,,,,,,,
5,1125,succession,,Haine,,temple,,,,,,false,1
5,1125,tower_burned,9,,,crown,,,,,,,
5,1125,storm,1,the Great Storm of 1125,,,,,,,,,
5,1125,discovery,1,the Rushold Find,,,,,,,,,
6,1150,settlement_founded,3,,,,,,,,,,
6,1150,refinery_founded,1,,,,,,,,,,
6,1150,succession,,Vralvek,,magnate,,,,,,false,2
6,1150,seizure,1,,,magnate,,,,,,,
6,1150,drought,3,the Drought of 1150,,,,,,,,,
6,1150,quake,11,the Nether Gnathok Quake,,,,,,,,,
7,1175,settlement_abandoned,3,,,,,,,,,,
7,1175,war,1,the Rushold War,,crown|magnate,,,,,,,
8,1200,succession,,Calden,,crown,,,,,,false,2
8,1200,treaty,1,the Peace of Rushold,,crown|magnate,,crown,1,3,,,
8,1200,storm,1,the Great Storm of 1200,,,,,,,,,
9,1225,seizure,1,,,magnate,,,,,,,
9,1225,quake,11,the Nether Gnathok Quake,,,,,,,,,
10,1250,seizure,1,,,crown,,,,,,,
10,1250,quake,11,the Nether Gnathok Quake,,,,,,,,,
10,1250,ascendancy,0,the Rise of Drolvek Diggings,,,,,,,,,
